zone_id,model_type,r2_score,mae,rmse,zone_category,training_samples,test_samples,best_params
zone_kp_north_main_02,GradientBoosting,0.9999999999999876,1.103598682192539e-08,1.1523728020682272e-08,mixed_suburban,1326,234,"{'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 100}"
zone_lavasa_01,GradientBoosting,0.9999999999999876,1.103598682192539e-08,1.1523728020682272e-08,mixed_suburban,1326,234,"{'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 100}"
zone_lavasa_lakeside_01,GradientBoosting,0.9994362776631615,0.00016095522031867753,0.0024567065307149103,mixed_suburban,1325,233,"{'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 100}"
zone_law_college_01,GradientBoosting,0.9999999999999908,1.1567835648362978e-08,1.1888862192264024e-08,educational,1325,233,"{'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 150}"
zone_law_college_rd_01,GradientBoosting,0.9999999999999909,1.1569240753440424e-08,1.1889208176457838e-08,educational,1326,234,"{'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 150}"
zone_laxmi_rd_01,GradientBoosting,0.9993685879004013,0.001383569697039515,0.0057511877086692115,commercial_high,1326,234,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100}"
zone_laxmi_rd_02,GradientBoosting,0.9981425452412901,0.0016113163359310239,0.009899742133919321,commercial_high,1321,233,"{'learning_rate': 0.15, 'max_depth': 8, 'n_estimators': 100}"
zone_laxmi_rd_03,GradientBoosting,0.999452363042673,0.0011244793222470193,0.005384034854584951,commercial_high,1322,233,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100}"
zone_laxmi_rd_04,GradientBoosting,0.9994264816793005,0.001046770018757157,0.005476461766255696,commercial_high,1325,233,"{'learning_rate': 0.15, 'max_depth': 8, 'n_estimators': 100}"
zone_laxmi_rd_side_01,GradientBoosting,0.9989977759447718,0.0016319083370234906,0.007239504182173808,commercial_high,1326,233,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100}"
zone_laxmi_road_01,GradientBoosting,0.999487377890276,0.0006913522444242225,0.005177559267512259,commercial_high,1323,233,"{'learning_rate': 0.15, 'max_depth': 8, 'n_estimators': 100}"
zone_lonavala_01,GradientBoosting,0.9999999999999876,1.1033302819776471e-08,1.1523133785671465e-08,mixed_suburban,1326,233,"{'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 100}"
zone_lonavala_main_01,GradientBoosting,0.9999999999999876,1.103598682192539e-08,1.1523728020682272e-08,mixed_suburban,1326,234,"{'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 100}"
zone_magarpatta_01,RandomForest,0.9924675885291268,0.01271616595135955,0.028164698983592557,it_corporate,1326,233,"{'max_depth': 20, 'max_features': 0.8, 'min_samples_leaf': 2, 'n_estimators': 100}"
zone_magarpatta_city_01,RandomForest,0.9924675885291269,0.012716165951359559,0.02816469898359256,it_corporate,1326,233,"{'max_depth': 20, 'max_features': 0.8, 'min_samples_leaf': 2, 'n_estimators': 100}"
zone_manchar_01,GradientBoosting,0.9994362776631615,0.00016095522031867753,0.0024567065307149103,mixed_suburban,1325,233,"{'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 100}"
zone_manchar_apmc_01,GradientBoosting,0.9999999999999876,1.103612572001145e-08,1.1524942549759328e-08,mixed_suburban,1323,233,"{'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 100}"
zone_mg_road_01,GradientBoosting,0.9981710590577703,0.0015049827579776904,0.009823462713461828,commercial_high,1325,233,"{'learning_rate': 0.15, 'max_depth': 8, 'n_estimators': 150}"
zone_mg_road_02,GradientBoosting,0.9981710590577703,0.0015049827579776904,0.009823462713461828,commercial_high,1325,233,"{'learning_rate': 0.15, 'max_depth': 8, 'n_estimators': 150}"
zone_mg_road_03,GradientBoosting,0.9981752669805397,0.001029738962891741,0.00981215557528315,commercial_high,1324,233,"{'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 150}"
zone_model_colony_01,GradientBoosting,0.9999999999999909,1.1220467900301629e-08,1.2409279889736902e-08,residential,1324,233,"{'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 150}"
zone_mundhwa_01,GradientBoosting,0.9999999999999876,1.103598682192539e-08,1.1523728020682272e-08,mixed_suburban,1326,234,"{'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 100}"
zone_mundhwa_abc_01,GradientBoosting,0.9999999999999876,1.103598682192539e-08,1.1523728020682272e-08,mixed_suburban,1326,234,"{'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 100}"
zone_nibm_01,GradientBoosting,0.9999999999999876,1.103612572001145e-08,1.1524942549759328e-08,mixed_suburban,1323,233,"{'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 100}"
zone_nibm_road_01,GradientBoosting,0.9999999999999876,1.1033302819776471e-08,1.1523133785671465e-08,mixed_suburban,1326,233,"{'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 100}"
zone_nigdi_01,GradientBoosting,0.9999999999999876,1.103598682192539e-08,1.1523728020682272e-08,mixed_suburban,1326,234,"{'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 100}"
zone_nigdi_commercial_01,GradientBoosting,0.9994453708983099,0.0008425384893622133,0.004818624221222168,commercial_medium,1325,233,"{'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 100}"
zone_parvati_01,GradientBoosting,0.9999999999999876,1.1035181550614516e-08,1.1524330083729285e-08,mixed_suburban,1324,233,"{'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 100}"
zone_parvati_hill_01,GradientBoosting,0.9999999999999876,1.103598682192539e-08,1.1523728020682272e-08,mixed_suburban,1326,234,"{'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 100}"
zone_pashan_01,GradientBoosting,0.9999999999999876,1.1034240690921071e-08,1.1523727279281282e-08,mixed_suburban,1325,233,"{'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 100}"
zone_pashan_sus_01,GradientBoosting,0.9999999999999876,1.103612572001145e-08,1.1524942549759328e-08,mixed_suburban,1323,233,"{'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 100}"
zone_peth_shaniwar_01,GradientBoosting,0.9999999999999876,1.1034240690921071e-08,1.1523727279281282e-08,mixed_suburban,1325,233,"{'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 100}"
zone_pimple_saudagar_01,GradientBoosting,0.9999999999999876,1.103598682192539e-08,1.1523728020682272e-08,mixed_suburban,1326,234,"{'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 100}"
zone_pimpri_01,GradientBoosting,0.9999999999999892,1.1531883032180766e-08,1.2185423310406957e-08,industrial,1325,233,"{'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 150}"
zone_pimpri_industrial_01,RandomForest,0.9987978927394637,0.0009482585470095633,0.004069348904977809,industrial,1326,234,"{'max_depth': 20, 'max_features': 0.8, 'min_samples_leaf': 2, 'n_estimators': 200}"
zone_pune_cantonment_01,GradientBoosting,0.9999999999999876,1.103598682192539e-08,1.1523728020682272e-08,mixed_suburban,1326,234,"{'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 100}"
zone_pune_railway_01,GradientBoosting,0.9992615266148112,0.0002667318656772545,0.00401805624720034,transport_hub,1325,233,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100}"
zone_pune_station_01,RandomForest,0.9970927848094188,0.0008458559847407212,0.008002830633644474,transport_hub,1325,233,"{'max_depth': 20, 'max_features': 0.8, 'min_samples_leaf': 2, 'n_estimators': 100}"
zone_pune_station_02,GradientBoosting,0.9970683809026197,0.0005299672684822826,0.008036349341607024,transport_hub,1326,233,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100}"
zone_pune_university_01,GradientBoosting,0.9999999999999908,1.1566788236325093e-08,1.1888117446251911e-08,educational,1326,233,"{'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 150}"
zone_pune_university_02,GradientBoosting,0.9999999999999908,1.1566788236325093e-08,1.1888117446251911e-08,educational,1326,233,"{'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 150}"
zone_rajgurunagar_01,GradientBoosting,0.9977667450797223,0.00032189942148281176,0.004913412863110805,mixed_suburban,1324,233,"{'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 100}"
zone_rajgurunagar_main_01,GradientBoosting,0.9999999999999876,1.1034240690921071e-08,1.1523727279281282e-08,mixed_suburban,1325,233,"{'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 100}"
zone_sadashiv_peth_01,GradientBoosting,0.9999999999999876,1.1034240690921071e-08,1.1523727279281282e-08,mixed_suburban,1325,233,"{'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 100}"
zone_salisbury_park_01,GradientBoosting,0.9999999999999876,1.1035181550614516e-08,1.1524330083729285e-08,mixed_suburban,1324,233,"{'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 100}"
zone_saswad_rd_01,GradientBoosting,0.9999999999999876,1.1033302819776471e-08,1.1523133785671465e-08,mixed_suburban,1326,233,"{'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 100}"
zone_saswad_road_01,GradientBoosting,0.9999999999999876,1.103598682192539e-08,1.1523728020682272e-08,mixed_suburban,1326,234,"{'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 100}"
zone_satara_rd_01,GradientBoosting,0.9999999999999876,1.103598682192539e-08,1.1523728020682272e-08,mixed_suburban,1326,234,"{'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 100}"
zone_satara_road_01,GradientBoosting,0.9999999999999876,1.103598682192539e-08,1.1523728020682272e-08,mixed_suburban,1326,234,"{'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 100}"
zone_sb_road_01,GradientBoosting,0.9999999999999876,1.1035181550614516e-08,1.1524330083729285e-08,mixed_suburban,1324,233,"{'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 100}"
zone_senapati_bapat_01,GradientBoosting,0.9999999999999876,1.1034240690921071e-08,1.1523727279281282e-08,mixed_suburban,1325,233,"{'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 100}"
zone_shaniwar_peth_01,GradientBoosting,0.9999999999999876,1.1034240690921071e-08,1.1523727279281282e-08,mixed_suburban,1325,233,"{'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 100}"
zone_shirur_01,GradientBoosting,0.9999999999999876,1.103598682192539e-08,1.1523728020682272e-08,mixed_suburban,1326,234,"{'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 100}"
zone_shirur_market_01,GradientBoosting,0.9998966927504701,0.00040247101985333675,0.0020804007051809167,commercial_medium,1326,233,"{'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 150}"
zone_shivajinagar_01,GradientBoosting,0.999487377890276,0.0006913522444242225,0.005177559267512259,commercial_high,1323,233,"{'learning_rate': 0.15, 'max_depth': 8, 'n_estimators': 100}"
zone_shivajinagar_02,GradientBoosting,0.9994264816793005,0.001046770018757157,0.005476461766255696,commercial_high,1325,233,"{'learning_rate': 0.15, 'max_depth': 8, 'n_estimators': 100}"
zone_shivajinagar_main_01,GradientBoosting,0.9999041171645809,0.0004591429963776007,0.0022400448126729607,commercial_high,1324,233,"{'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 150}"
zone_shivajinagar_railway_01,GradientBoosting,0.9997783851099139,0.0008407098024985595,0.0034055380799795153,commercial_high,1325,233,"{'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 150}"
zone_sinhgad_road_01,GradientBoosting,0.9999999999999876,1.1033302819776471e-08,1.1523133785671465e-08,mixed_suburban,1326,233,"{'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 100}"
zone_swargate_01,GradientBoosting,0.9992615177403591,0.0002632448723196668,0.004018080390210009,transport_hub,1326,233,"{'learning_rate': 0.15, 'max_depth': 8, 'n_estimators': 150}"
zone_swargate_bus_01,GradientBoosting,0.9970685183609086,0.0005264780610383214,0.008036160934494448,transport_hub,1321,233,"{'learning_rate': 0.15, 'max_depth': 8, 'n_estimators': 150}"
zone_talegaon_01,GradientBoosting,0.9977667450797223,0.00032189942148281176,0.004913412863110805,mixed_suburban,1324,233,"{'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 100}"
zone_talegaon_midc_01,RandomForest,0.9994645923138258,0.0005961508788077349,0.002714348300531999,industrial,1326,233,"{'max_depth': 20, 'max_features': 0.8, 'min_samples_leaf': 2, 'n_estimators': 200}"
zone_tilak_rd_01,GradientBoosting,0.9999999999999876,1.1034240690921071e-08,1.1523727279281282e-08,mixed_suburban,1325,233,"{'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 100}"
zone_tilak_road_01,GradientBoosting,0.9999999999999876,1.1033302819776471e-08,1.1523133785671465e-08,mixed_suburban,1326,233,"{'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 100}"
zone_undri_01,GradientBoosting,0.9999999999999909,1.1223205217350863e-08,1.2410586251767512e-08,residential,1323,233,"{'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 150}"
zone_undri_residential_01,GradientBoosting,0.9999999999999909,1.120801363826902e-08,1.2395973686332209e-08,residential,1326,234,"{'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 150}"
zone_viman_nagar_01,RandomForest,0.9876018907627534,0.0165011230329046,0.03613398210975402,it_corporate,1322,233,"{'max_depth': 30, 'max_features': 0.8, 'min_samples_leaf': 2, 'n_estimators': 200}"
zone_viman_nagar_02,GradientBoosting,0.9925260266082984,0.011768717729512556,0.028055232337116466,it_corporate,1324,233,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 150}"
zone_viman_nagar_03,RandomForest,0.9878515887977114,0.0166176144492136,0.0357682619746982,it_corporate,1325,233,"{'max_depth': 30, 'max_features': 0.8, 'min_samples_leaf': 2, 'n_estimators': 200}"
zone_vishrantwadi_01,GradientBoosting,0.9999999999999876,1.1033302819776471e-08,1.1523133785671465e-08,mixed_suburban,1326,233,"{'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 100}"
zone_vishrantwadi_main_01,GradientBoosting,0.9999999999999876,1.1033302819776471e-08,1.1523133785671465e-08,mixed_suburban,1326,233,"{'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 100}"
zone_wakad_01,RandomForest,0.990288139995941,0.014610622317597015,0.03198079847113193,it_corporate,1324,233,"{'max_depth': 20, 'max_features': 0.8, 'min_samples_leaf': 2, 'n_estimators': 100}"
zone_wakad_02,GradientBoosting,0.9905727296054548,0.013535941689784,0.03150874299385788,it_corporate,1324,233,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 150}"
zone_wakad_bridge_01,GradientBoosting,0.9925260266082984,0.011768717729512556,0.028055232337116466,it_corporate,1324,233,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 150}"
zone_wakad_hinjewadi_01,RandomForest,0.9923894071154493,0.012871225071225536,0.028286410061781134,it_corporate,1326,234,"{'max_depth': 20, 'max_features': 0.8, 'min_samples_leaf': 2, 'n_estimators': 100}"
zone_wanowrie_01,GradientBoosting,0.9999999999999876,1.103598682192539e-08,1.1523728020682272e-08,mixed_suburban,1326,234,"{'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 100}"
zone_wanowrie_market_01,GradientBoosting,0.9981788020194886,0.0009647261003589562,0.008770788944139874,commercial_medium,1324,233,"{'learning_rate': 0.15, 'max_depth': 8, 'n_estimators': 150}"
zone_warje_01,GradientBoosting,0.9999999999999909,1.120801363826902e-08,1.2395973686332209e-08,residential,1326,234,"{'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 150}"
zone_warje_residential_01,GradientBoosting,0.9999999999999909,1.120801363826902e-08,1.2395973686332209e-08,residential,1326,234,"{'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 150}"
zone_yerwada_01,GradientBoosting,0.9999999999999876,1.1034240690921071e-08,1.1523727279281282e-08,mixed_suburban,1325,233,"{'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 100}"
zone_yerwada_commerce_01,GradientBoosting,0.9999999999999876,1.1034240690921071e-08,1.1523727279281282e-08,mixed_suburban,1325,233,"{'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 100}"
